AHCA Number (File Number),License Number,License Effective Date,License Expiration Date,Facility Type,Name,Street Address,Street Address Line 2,Street City,Street State,Street Zip,Street County,Phone,Mailing Address,Mailing Address Line 2,Mailing City,Mailing State,Mailing Zip,Mailing County,License Status,Owner,Owner Since,Admin/CEO,Licensed Beds,Profit Status,Web Address
100129,4154,04/07/2016,06/24/2017,Hospital,ASPIRE HEALTH PARTNERS  INC.,1800 MERCY DR,,ORLANDO,FL,32808,Orange,(407) 875-3700,434 W KENNEDY BLVD,ATTN: QUALITY & RISK MANAGEMENT,ORLANDO,FL,32810-6237,Orange,LICENSED,ASPIRE HEALTH PARTNERS  INC,04/03/2007,MR. RICHARD JACOBS,56,Not-For-Profit,http://aspirehealthpartners.com/
110068,4045,01/01/2016,12/31/2017,Hospital,ATLANTIC SHORES HOSPITAL,4545 N FEDERAL HWY,,FORT LAUDERDALE,FL,33308,Broward,(954) 771-2711,4545 N FEDERAL HWY,,FORT LAUDERDALE,FL,33308,Broward,LICENSED,ATLANTIC SHORES HOSPITAL  LLC,01/01/2006,MR. MANUEL R LLANO,42,For-Profit,www.uhsinc.com
100131,4430,11/05/2015,11/04/2017,Hospital,AVENTURA HOSPITAL AND MEDICAL CENTER,20900 BISCAYNE BLVD,,AVENTURA,FL,33180,Miami-Dade,(305) 682-7000,20900 BISCAYNE BLVD,,AVENTURA,FL,33180-1407,Miami-Dade,LICENSED,MIAMI BEACH HEALTHCARE GROUP LTD,11/05/1993,MS DIANNE GOLDENBERG,407,For-Profit,http://www.aventurahospital.com/
100093,4456,07/01/2015,06/30/2017,Hospital,BAPTIST HOSPITAL,1000 W MORENO ST,,PENSACOLA,FL,32501,Escambia,(850) 434-4011,1000 W MORENO ST,,PENSACOLA,FL,32522,Escambia,LICENSED,BAPTIST HOSPITAL INC,03/25/1999,MR. SCOTT RAYNES,492,Not-For-Profit,www.ebaptisthealthcare.org
100088,4448,04/12/2016,06/30/2017,Hospital,BAPTIST MEDICAL CENTER JACKSONVILLE,800 PRUDENTIAL DR,,JACKSONVILLE,FL,32207,Duval,(904) 202-2000,800 PRUDENTIAL DR,,JACKSONVILLE,FL,32207,Duval,LICENSED,SOUTHERN BAPTIST HOSPITAL OF FLORIDA INC,07/01/1991,MR. ADRIAN HUGH GREENE,691,Not-For-Profit,www.baptistjax.com
100047,4435,12/01/2014,11/30/2016,Hospital,BAYFRONT HEALTH PUNTA GORDA,809 E MARION AVE,,PUNTA GORDA,FL,33950,Charlotte,(941) 637-3128,809 E MARION AVE,,PUNTA GORDA,FL,33950,Charlotte,LICENSED,PUNTA GORDA HMA  LLC,02/03/2009,MR. BRANDON W DOWNEY,208,For-Profit,http://www.charlotteregional.com/
100243,4403,06/15/2015,02/23/2017,Hospital,BRANDON REGIONAL HOSPITAL,119 OAKFIELD DR,,BRANDON,FL,33511,Hillsborough,(813) 681-5551,119 OAKFIELD DR,,BRANDON,FL,33511,Hillsborough,LICENSED,GALENCARE INC,02/24/1993,MR. D. BLAND ENG,422,For-Profit,http://www.brandonhospital.com/
100200,3996,07/01/2015,06/30/2017,Hospital,BROWARD HEALTH IMPERIAL POINT,6401 N FEDERAL HWY,,FORT LAUDERDALE,FL,33308,Broward,(954) 776-8500,6401 N FEDERAL HWY,,FORT LAUDERDALE,FL,33308,Broward,LICENSED,NORTH BROWARD HOSPITAL DISTRICT,04/29/1991,MS. ALICE TAYLOR,204,Not-For-Profit,http://www.browardhealth.org/
100039,4128,07/01/2015,06/30/2017,Hospital,BROWARD HEALTH MEDICAL CENTER,1600 S ANDREWS AVE,,FORT LAUDERDALE,FL,33316,Broward,(954) 355-5610,1600 S ANDREWS AVE,,FORT LAUDERDALE,FL,33316,Broward,LICENSED,NORTH BROWARD HOSPITAL DISTRICT,07/01/1991,MR. MARK SPRADA,716,Not-For-Profit,http://www.browardhealth.org
100254,4017,08/26/2015,08/25/2017,Hospital,CAPITAL REGIONAL MEDICAL CENTER,2626 CAPITAL MEDICAL BLVD,,TALLAHASSEE,FL,32308,Leon,(850) 325-5015,2626 CAPITAL MEDICAL BLVD,,TALLAHASSEE,FL,32308,Leon,LICENSED,TALLAHASSEE MEDICAL CENTER  INC.,04/30/2001,MR MARK ROBINSON,266,For-Profit,www.capitalregionalmedicalcenter.com
110028,3977,07/01/2015,04/23/2017,Hospital,CENTERSTONE OF FLORIDA,2020 26TH AVE E,,BRADENTON,FL,34208,Manatee,(941) 782-4299,PO BOX 9478,,BRADENTON,FL,34206,Manatee,LICENSED,CENTERSTONE OF FLORIDA  INC,05/01/1991,MS. MARY L RUIZ,30,Not-For-Profit,http://www.manateeglens.org/
23960083,4498,09/22/2016,09/21/2018,Hospital,CENTRAL FLORIDA BEHAVIORAL HOSPITAL,6601 CENTRAL FLORIDA PKWY,,ORLANDO,FL,32821,Orange,(407) 370-0111,6601 CENTRAL FLORIDA PKWY,,ORLANDO,FL,32821,Orange,LICENSED,LA AMISTAD RESIDENTIAL TREATMENT CENTER LLC,03/10/2010,MS VICKIE LEWIS,126,For-Profit,http://www.centralfloridabehavioral.com/
104024,3987,07/01/2015,06/30/2017,Hospital,CIRCLES OF CARE  INC,400 E SHERIDAN RD,,MELBOURNE,FL,32901,Brevard,(321) 984-4900,400 E SHERIDAN RD,,MELBOURNE,FL,32901-3184,Brevard,LICENSED,CIRCLES OF CARE  INC,05/01/1991,JAMES B WHITAKER,52,Not-For-Profit,http://www.circlesofcare.org
100258,4439,04/25/2016,09/11/2017,Hospital,DELRAY MEDICAL CENTER,5352 LINTON BLVD,,DELRAY BEACH,FL,33484,Palm Beach,(561) 495-3100,5352 LINTON BLVD,,DELRAY BEACH,FL,33484,Palm Beach,LICENSED,DELRAY MEDICAL CENTER INC,09/12/2003,MR MARK BRYAN,493,For-Profit,www.delraymedicalctr.com
100150,4302,05/01/2015,04/30/2017,Hospital,DEPOO HOSPITAL,1200 KENNEDY DR,,KEY WEST,FL,33040,Monroe,(305) 294-5531,PO BOX 9107,,KEY WEST,FL,33041-9107,Monroe,LICENSED,KEY WEST HMA LLC,05/01/1999,DR. NICKI L WILL-MOWERY PHD,49,For-Profit,http://www.lkmc.com
110044,3914,01/31/2015,01/30/2017,Hospital,EASTSIDE PSYCHIATRIC HOSPITAL,2634B CAPITAL CIRCLE NE  2ND FLR,,TALLAHASSEE,FL,32308,Leon,(850) 523-3333,2634J CAPITAL CIRCLE NE,,TALLAHASSEE,FL,32308,Leon,LICENSED,APALACHEE CENTER INC,12/21/1998,MR. JAY A REEVE,46,Not-For-Profit,http://www.apalacheecenter.org
110034,4500,10/01/2015,09/30/2017,Hospital,EMERALD COAST BEHAVIORAL HOSPITAL,1940 HARRISON AVE,,PANAMA CITY,FL,32405,Bay,(850) 763-0017,1940 HARRISON AVE,,PANAMA CITY,FL,32405,Bay,LICENSED,EMERALD COAST BEHAVIORAL HOSPITAL  LLC,10/01/2009,MR. TIM BEDFORD,86,For-Profit,www.emeraldcoastbehavioral.com
100219,3665,11/01/2015,10/31/2017,Hospital,FLAGLER HOSPITAL,400 HEALTH PARK BLVD,,SAINT AUGUSTINE,FL,32086,St. Johns,(904) 819-4400,400 HEALTH PARK BLVD,,SAINT AUGUSTINE,FL,32086,St. Johns,LICENSED,FLAGLER HOSPITAL INC,04/29/1991,MR. JOSEPH S GORDY,335,Not-For-Profit,http://www.flaglerhospital.org/
100007,4369,04/16/2016,06/30/2017,Hospital,FLORIDA HOSPITAL,601 E ROLLINS ST,,ORLANDO,FL,32803,Orange,(407) 303-5600,901 N LAKE DESTINY RD  STE 400,,MAITLAND,FL,32751,Orange,LICENSED,ADVENTIST HEALTH SYSTEM/SUNBELT INC,11/30/2006,MR. DARYL L TOL,1289,Not-For-Profit,www.floridahospital.com/orlando
120013,4171,02/24/2015,02/23/2017,Hospital,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER LAKE PLACID,1210 US 27 N,,LAKE PLACID,FL,33852,Highlands,(863) 465-3777,PO BOX 9400,,SEBRING,FL,33871,Highlands,LICENSED,ADVENTIST HEALTH SYSTEM/SUNBELT INC,07/01/1985,MR BRUCE BERGHERM,50,Not-For-Profit,www.fhhd.org
100210,4133,05/13/2016,01/10/2017,Hospital,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,5000 W OAKLAND PARK BLVD,,LAUDERDALE LAKES,FL,33313,Broward,(954) 730-2850,1100 NW 95TH ST,,MIAMI,FL,33150,Miami-Dade,LICENSED,NORTH SHORE MEDICAL CENTER  INC,06/01/2009,MR MANUEL LINARES,459,For-Profit,www.fmc-campus.com
104026,4047,06/09/2016,06/08/2018,Hospital,FORT LAUDERDALE HOSPITAL,1601 E LAS OLAS BLVD,,FORT LAUDERDALE,FL,33301,Broward,(954) 463-4321,1601 E LAS OLAS BLVD,,FORT LAUDERDALE,FL,33301,Broward,LICENSED,FORT LAUDERDALE HOSPITAL  INC.,06/01/2004,MR. MANUEL R LLANO,100,For-Profit,http://www.fortlauderdalehospital.org/
100223,4363,06/27/2016,06/26/2018,Hospital,FORT WALTON BEACH MEDICAL CENTER,1000 MAR-WALT DR,,FORT WALTON BEACH,FL,32547,Okaloosa,(850) 862-1111,1000 MAR-WALT DR,,FORT WALTON BEACH,FL,32547-6708,Okaloosa,LICENSED,FORT WALTON BEACH MEDICAL CENTER  INC,02/24/1993,MR. MITCHELL MONGELL,237,For-Profit,http://www.fwbmedicalcenter.com/
100017,4181,07/01/2015,06/30/2017,Hospital,HALIFAX HEALTH MEDICAL CENTER,303 N CLYDE MORRIS BLVD,,DAYTONA BEACH,FL,32114,Volusia,(386) 254-4000,303 N CLYDE MORRIS BLVD,,DAYTONA BEACH,FL,32114,Volusia,LICENSED,HALIFAX HOSPITAL MEDICAL CENTER,05/14/2007,MR. JEFFREY FEASEL,568,Not-For-Profit,halifaxhealth.org
110016,4181,07/01/2015,06/30/2017,Hospital,HALIFAX PSYCHIATRIC CENTER-NORTH,841 JIMMY ANN DR,,DAYTONA BEACH,FL,32117,Volusia,(386) 274-5333,303 N CLYDE MORRIS BLVD,,DAYTONA BEACH,FL,32114,Volusia,LICENSED,HALIFAX HOSPITAL MEDICAL CENTER,02/10/1994,MR. JEFFREY FEASEL,30,Not-For-Profit,http://www.hfch.org/hbs.html
100105,4029,08/07/2015,04/30/2017,Hospital,INDIAN RIVER MEDICAL CENTER,1000 36TH ST,,VERO BEACH,FL,32960,Indian River,(772) 567-4311,1000 36TH ST,,VERO BEACH,FL,32960,Indian River,LICENSED,INDIAN RIVER MEMORIAL HOSPITAL INC,05/01/1991,MR JEFFREY L SUSI,332,Not-For-Profit,http://www.irmc.cc
100022,3998,07/01/2015,06/30/2017,Hospital,JACKSON MEMORIAL HOSPITAL,1611 NW 12TH AVE,,MIAMI,FL,33136,Miami-Dade,(305) 585-1111,1611 NW 12TH AVE,,MIAMI,FL,33136,Miami-Dade,LICENSED,PUBLIC HEALTH TRUST OF MIAMI-DADE COUNTY,12/15/2006,MR CARLOS A MIGOYA,1493,Not-For-Profit,http://www.jhsmiami.org
100208,3998,07/25/2016,06/30/2017,Hospital,JACKSON SOUTH COMMUNITY HOSPITAL,9333 SW 152ND ST,,MIAMI,FL,33157,Miami-Dade,(305) 251-2500,1611 NW 12TH AVE,,MIAMI,FL,33136,Miami-Dade,LICENSED,PUBLIC HEALTH TRUST OF MIAMI-DADE COUNTY,07/01/2001,MR CARLOS A MIGOYA,250,Not-For-Profit,http://www.jhsmiami.org
100080,4368,04/01/2016,06/28/2017,Hospital,JFK MEDICAL CENTER,5301 S CONGRESS AVE,,ATLANTIS,FL,33462,Palm Beach,(561) 965-7300,5301 S CONGRESS AVE,,ATLANTIS,FL,33462,Palm Beach,LICENSED,JFK MEDICAL CENTER LIMITED PARTNERSHIP,07/13/2005,MS. GINA A MELBY,472,For-Profit,http://www.jfkmc.com/
100234,4368,07/26/2016,06/28/2017,Hospital,JFK MEDICAL CENTER NORTH CAMPUS,2201 45TH ST,,WEST PALM BEACH,FL,33407,Palm Beach,(561) 842-6141,2201 45TH ST,,WEST PALM BEACH,FL,33407,Palm Beach,LICENSED,JFK MEDICAL CENTER LIMITED PARTNERSHIP,04/01/2016,MS. GINA A MELBY,245,For-Profit,http://www.columbiahospital.com/
100209,4344,06/13/2016,06/30/2017,Hospital,KENDALL REGIONAL MEDICAL CENTER,11750 BIRD RD,,MIAMI,FL,33175,Miami-Dade,(305) 223-3000,11750 BIRD RD,,MIAMI,FL,33175,Miami-Dade,LICENSED,KENDALL HEALTHCARE GROUP  LTD,04/30/1992,MR SCOTT A CIHAK,417,For-Profit,http://www.kendallmed.com/
100099,4007,01/01/2015,11/30/2016,Hospital,LAKE WALES MEDICAL CENTER,410 S 11TH ST,,LAKE WALES,FL,33853,Polk,(863) 676-1433,410 S 11TH ST,,LAKE WALES,FL,33853,Polk,LICENSED,LAKE WALES HOSPITAL CORPORATION,07/06/2005,MR. ANDREW HOWARD,160,For-Profit,http://www.lakewalesmedicalcenter.com
100157,4413,07/18/2016,09/30/2016,Hospital,LAKELAND REGIONAL MEDICAL CENTER,1324 LAKELAND HILLS BLVD,,LAKELAND,FL,33805,Polk,(863) 687-1100,1324 LAKELAND HILLS BLVD,,LAKELAND,FL,33805,Polk,LICENSED,LAKELAND REGIONAL MEDICAL CENTER INC,05/01/1991,DR. WILTON M REAVIS MD,849,Not-For-Profit,http://www.lrmc.com
100015,4398,07/01/2015,06/30/2017,Hospital,LARGO MEDICAL CENTER - INDIAN ROCKS,2025 INDIAN ROCKS RD,,LARGO,FL,33774,Pinellas,(727) 581-9474,201 14TH ST SW,,LARGO,FL,33770,Pinellas,LICENSED,LARGO MEDICAL CENTER INC,03/01/2008,MR. ANTHONY M DEGINA,169,For-Profit,www.largomedical.com
100181,4288,07/22/2016,03/03/2018,Hospital,LARKIN COMMUNITY HOSPITAL,7031 SW 62ND AVE,,SOUTH MIAMI,FL,33143,Miami-Dade,(305) 284-7500,5996 SW 70TH ST,,SOUTH MIAMI,FL,33143,Miami-Dade,LICENSED,LARKIN COMMUNITY HOSPITAL INC,03/01/1997,MS SANDRA SOSA-GUERRERO,146,For-Profit,http://www.larkinhospital.com/
104015,4361,07/31/2015,04/01/2017,Hospital,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,1201 N 37TH AVE,,HOLLYWOOD,FL,33021,Broward,(954) 962-1355,1201 N 37TH AVE,,HOLLYWOOD,FL,33021,Broward,LICENSED,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES INC,04/02/2015,MS NATASHA A ANDERSON,50,For-Profit,www.larkinbehavioral.com
100246,4144,07/26/2016,06/30/2017,Hospital,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,1700 S 23RD ST,,FORT PIERCE,FL,34950,St. Lucie,(772) 468-4500,1700 S 23RD ST,,FORT PIERCE,FL,34950,St. Lucie,LICENSED,LAWNWOOD MEDICAL CENTER  INC.,06/03/1991,MR. GREG LOWE,380,For-Profit,http://www.lawnwoodmed.com/
104018,4075,07/01/2015,06/30/2017,Hospital,LIFESTREAM BEHAVIORAL CENTER,2020 TALLY RD,,LEESBURG,FL,34748,Lake,(352) 315-7800,PO BOX 491000,,LEESBURG,FL,34749-1000,Lake,LICENSED,LIFESTREAM BEHAVIORAL CENTER  INC,11/01/1993,MR. JONATHAN CHERRY,46,Not-For-Profit,http://www.lsbc.net/
100043,4378,07/01/2015,06/30/2017,Hospital,MEASE DUNEDIN HOSPITAL,601 MAIN ST,,DUNEDIN,FL,34698,Pinellas,(727) 733-1111,2985 DREW ST,,CLEARWATER,FL,33756,Pinellas,LICENSED,TRUSTEES OF MEASE HOSPITALS  INC,04/29/1991,MR. GLENN D WATERS,120,Not-For-Profit,http://www.measehospitals.com/
23960110,4400,07/01/2015,06/30/2017,Hospital,MEDICAL CENTER OF TRINITY WEST PASCO CAMPUS,5637 MARINE PKWY,,NEW PORT RICHEY,FL,34652,Pasco,(727) 834-5927,9330 SR 54,,TRINITY,FL,34655,Pasco,LICENSED,NEW PORT RICHEY HOSPITAL INC,01/24/2012,MS. LEIGH MASSENGILL,46,For-Profit,www.medicalcentertrinity.com
100179,4447,08/01/2015,01/02/2017,Hospital,MEMORIAL HOSPITAL JACKSONVILLE,3625 UNIVERSITY BLVD S,,JACKSONVILLE,FL,32216,Duval,(904) 399-6111,3625 UNIVERSITY BLVD S,,JACKSONVILLE,FL,32216,Duval,LICENSED,MEMORIAL HEALTHCARE GROUP INC,11/30/2006,MR. JAMES F O'LOUGHLIN,418,For-Profit,http://www.memorialhospitaljax.com/
